id,lipidosis,grade,other.liver.disease,weight,age,HU,fat.perc,fibrosis.perc,insulin,trig,na,k,cl,ca,gldh,bile.acid,ldh,uric.acid,chol,VLDL.perc,LDL.perc,HDL.perc,VLDL,LDL,HDL,non-HDL,hdl.by.chol,ast,alt,alp,ck,xylose,xylitol,valine,uric acid,urea,UDP-glucuronic acid,tyrosine,tryptophan ,trehalose,trans-4-hydroxyproline ,tocopherol alpha-,threonine,threonic acid,threitol,succinic acid,sophorose,shikimic acid,serotonin,serine,salicylic acid,ribose,ribonic acid ,ribitol,putrescine,pseudo uridine,propyleneglycol,proline,pipecolinic acid,phosphoethanolamine,phosphate,phenylethylamine,phenylalanine ,phenylacetic acid,pelargonic acid,pantothenic acid,palmitoleic acid,oxoproline,ornithine ,oleic acid,nicotinamide,N-acetylneuraminic acid,myo-inositol,methylmalonic acid,methionine sulfoxide ,methionine,methanolphosphate,mannose,maltotriose,maltose ,malic acid,lysine,linoleic acid,leucine,lauric acid,lactic acid ,isothreonic acid ,isoribose,isomaltose,isoleucine ,inositol-4-monophosphate,inosine,indole-3-acetate,hypoxanthine,hypotaurine,hydroxylamine,hydroquinone,homocystine ,guanosine,glycine,glycerol-alpha-phosphate,glyceric acid,glutamine ,glutamic acid,glucuronic acid,glucose-1-phosphate,glucose ,gluconic acid,galactonic acid,fumaric acid,fucose ,fructose ,ethanolamine,erythritol,Dopamine ,dihydrocholesterol,dihydro-3-coumaric acid,deoxypentitol,deoxycholic acid,cystine,creatinine,conduritol-beta-epoxide ,citrulline,citric acid,cholesterol,catechol,campesterol ,cadaverine,biuret,beta-sitosterol,beta-glycerolphosphate,beta-alanine,benzoic acid,aspartic acid,asparagine ,arachidonic acid,arabitol,aminomalonic acid,alanine,aconitic acid,5-methoxytryptamine,5-hydroxynorvaline ,5-aminovaleric acid,4-hydroxyphenylacetic acid,4-hydroxybenzoate,4-aminobutyric acid ,3-hydroxybutyric acid,3-hydroxybenzoic acid,"3-Aminopiperidine-2,6-dione ",3-aminoisobutyric acid,"3,4-dihydroxycinnamic acid",2-hydroxyvaleric acid,2-hydroxyglutaric acid,2-hydroxybutanoic acid,2-deoxytetronic acid,2-aminobutyric acid,"2,3-dihydroxybutanoic acid ",1-methylhydantoin,"1,5-anhydroglucitol"
1,no-to-mild,3,N,299,4-7,-21.5,22.7,0.65,3.9,91,144,2.6,115,10,4.94,1.4,600,1.2,170,12,46,40.9,20.4,78.2,69.53,100.47,0.409,53,10,111,189,9615,28868,251623,3360,70105,1779,1057220,56824,1043,14632,13655,46097,37605,8612,2568,133,1962,598,341254,744,3524,1733,1717,2360,538,14646,6967,590,463,90879,282,64844,750,9113,788,2814,214425,208641,30307,1619,273,459044,49696,15069,1434,7665,163957,310,2286,1477,219981,16684,468606,5660,9708,2699,2267,313,259592,775,5167,627,7041,324,11704,1994,1267,527,36824,666,2106,71106,15559,4205,7110,2546909,3127,946,1668,4563,2599,9678,23830,1322,4920,429,1128,33194,19339,193387,5855,21062,24668,431030,290,18678,1377,906,20543,421,7573,12681,1860,6012,2822,6890,1864,158610,538,1369,551,833,653,649,243,2754929,1433,11650,265,575,9793,323,81770,1767,16565,1985,8609,2091
2,no-to-mild,4,N,395,4-7,-23.5,34.6,0.37,2.7,163,159,3.2,135,13.1,0.1,1.8,765,1.6,243,NA,NA,NA,NA,NA,NA,NA,NA,18,6,169,495,10314,20571,344495,7024,141316,1395,570196,76926,4075,19606,17611,45386,51873,14106,3067,309,4903,1203,503785,799,3564,3495,1080,3517,483,46318,57336,5739,4003,117976,343,99558,1363,11322,1128,5423,354260,264329,25052,733,1522,972702,48670,54330,3588,9104,281137,930,11441,1790,364026,11626,408878,2774,13307,3372,1974,2358,231665,905,5550,611,12736,890,12806,1806,610,872,31116,4170,3975,177070,35161,6252,4347,3027307,7018,2481,2980,5135,7246,23986,19526,2514,2901,565,1535,44618,3460,216908,17809,33414,41906,487400,398,27432,1857,1655,2737,596,50444,20517,8440,6615,3198,11428,1682,764627,638,1373,1710,15962,363,695,396,432500,4255,11180,931,539,9793,840,32066,2243,50010,1857,5259,4006
3,moderate-to-severe,8,N,455,4-7,4.5,42.7,13.95,1.5,69,147,2.6,122,11.1,0.1,1.5,179,1,163,37.5,5,57.4,61.125,8.15,93.562,69.438,0.574,27,14,155,65,9602,36474,196847,4446,43139,1136,901598,59588,2069,13064,11783,25382,45824,9009,3816,395,3934,1574,773983,1420,7632,2617,1187,4155,496,17095,22233,818,1408,93263,1101,105023,1269,8748,2429,5521,279680,188187,29782,1598,897,550133,41525,39082,2274,6007,260969,740,6261,4192,196950,17199,379912,4021,7434,4586,2595,1632,208676,606,6533,725,3180,511,13778,1979,427,439,40355,1897,1245,92334,12507,4258,7714,4210317,2651,2558,4333,8189,5725,15981,27890,1880,654,586,1914,32914,10794,243763,10196,19824,48439,403172,245,29957,1888,1311,22098,713,12505,22203,10365,825,3147,9904,2281,559130,800,1847,757,2261,868,985,302,200770,1711,8297,769,1178,13661,692,56374,2001,22101,1888,6052,4270
4,moderate-to-severe,5,N,503,4-7,-2,25.9,0.34,1.6,60,146,2.1,119,10.8,1.49,0.9,128,2.2,148,11,36,52,16.28,53.28,76.96,71.04,0.52,12,16,39,68,8494,24697,289392,7626,69350,599,599756,61565,2791,12037,22026,28171,18570,9714,2821,234,1791,364,1140095,375,3017,2724,413,2957,1370,34879,33438,789,2673,93105,1499,75954,919,6328,1947,4573,260138,177683,32980,1796,416,716700,59718,40060,1901,5188,154314,246,9549,1083,116265,18231,380936,2195,6899,2038,1419,1714,215531,406,6543,523,8821,454,10698,1588,943,330,38537,2069,2028,191076,32086,4573,6877,3189770,5276,4929,1807,8030,3512,10812,26836,3768,3691,347,1252,34072,10062,220764,11569,20385,69590,324870,224,15736,1148,1717,20342,433,9576,20094,9680,5442,4929,11548,1869,233697,926,1442,1804,1332,365,679,133,1410084,15156,14490,374,496,7102,1712,45010,1732,42683,1064,4457,4617
5,no-to-mild,2,N,305,4-7,-30,38,0.46,1.4,375,147,2.8,126,22.6,0.1,1.3,240,0.5,178,46.7,0,49.7,83.126,0,88.466,89.534,0.497,16,6,325,36,10616,24338,129208,509,73280,320,228985,49266,1837,21797,12089,18619,19967,5561,1713,136,7693,2058,545169,694,6807,2407,2233,3012,540,47798,94759,707,3598,107271,5979,49122,6888,9686,2711,6585,536321,200728,38552,1121,792,503235,20864,43205,3688,10662,490622,680,4856,1045,324130,20805,286367,6384,2814,1806,1177,539,134942,269,6189,1171,4216,1337,17409,4881,456,429,58837,3323,1759,156016,15967,3761,3553,2963541,1612,726,2859,11193,3368,38406,15816,3672,5354,457,1020,46691,974,242923,6385,22921,25465,525106,603,17579,1160,751,7494,648,19361,14240,22666,1249,5763,4622,2275,264340,295,998,848,1691,373,1338,187,2104677,16724,16116,685,306,11519,380,37537,2522,24434,811,4620,2809
6,moderate-to-severe,5,N,436,4-7,10.25,32.9,1.04,2.8,73,146,2.1,123,13.3,0.1,2.1,96,0.9,152,11,47,41,16.72,71.44,62.32,89.68,0.41,13,10,103,42,5612,29313,270000,2566,68972,312,1047708,83720,1704,16740,16247,25807,16280,4758,1798,204,2405,316,351407,1319,4121,2999,2223,3705,1325,4938,110228,3645,2090,64671,1132,81639,7741,6596,1732,2163,413087,89995,21818,2417,465,221074,58048,71603,1955,8364,226652,429,3107,1341,127429,10386,327721,2603,6902,655,2485,490,197181,638,5119,3629,6935,375,13916,8970,950,149,94581,976,1838,341560,32169,2761,10065,3637214,5455,4823,2067,5819,3898,17273,16370,1766,4119,426,1834,30549,7028,219308,3355,27863,24597,460867,3055,29214,1168,1346,18641,396,12612,31766,3110,7823,3177,7676,1026,1096860,433,1634,3420,1461,462,1651,216,373399,39851,17782,572,380,12136,580,79256,1777,122434,972,2932,1841
7,no-to-mild,2,Y,383,4-7,4.25,17.8,1.33,1.8,200,140,2.8,119,17.1,0.1,2,306,1.1,157,42,8,49,65.94,12.56,76.93,80.07,0.49,22,9,141,248,13064,13643,176856,2144,41218,751,497249,15803,1906,19100,19297,13005,20056,13431,3742,189,2822,1175,517817,565,3886,4139,1454,1533,592,42063,28802,1964,1531,93505,6293,43422,1054,12415,1338,6955,324891,104729,26782,1362,342,1356661,33198,15743,630,7128,359003,303,3458,1980,137862,12102,270747,4074,12631,2063,547,638,151474,465,10270,846,5109,999,16621,2838,270,473,28839,1912,2476,49665,18840,4794,1631,2785373,4882,4967,2359,31154,3406,36654,29041,1938,4992,450,2079,53175,862,242205,9202,4183,52218,542417,379,17102,1346,1227,19808,505,6669,16667,3827,3378,2592,8714,1891,202598,557,4033,988,2112,603,1622,426,2073190,3867,5192,168,555,16837,613,41512,1824,35074,276,4514,5512
8,no-to-mild,3,N,378,4-7,-26,25.9,1.86,1.9,90,152,2.9,124,11,1.38,2.1,1156,1.6,196,42,9,48,82.32,17.64,94.08,101.92,0.48,34,115,287,4209,11003,26992,478133,3953,78708,1308,1466396,64152,991,8627,22140,41887,12196,7826,3026,189,1788,3423,421191,486,2802,1227,1782,2511,634,6856,54093,1112,1024,104013,662,79409,479,10373,2145,2093,176497,143646,20204,2329,681,322649,101457,17098,1474,6728,181506,523,9292,1531,160288,14261,622626,2547,9213,3703,1073,615,335081,569,3350,710,7310,1000,11762,2073,383,266,55699,2164,2117,21791,8017,4468,2637,2637677,3289,3706,2160,12070,3483,15778,17980,4288,4150,371,1461,19015,3283,406089,4616,12204,23825,393153,274,30227,1267,1233,18902,458,11876,13573,10788,672,2484,6765,1622,217117,429,2159,652,2469,628,854,255,1665172,1494,11388,228,313,22854,565,61323,2247,78744,6352,4349,1101
9,no-to-mild,2,N,375,4-7,-37.5,41.9,0.49,1.3,217,151,3.3,121,9.9,0.1,3.1,379,2.4,167,NA,NA,NA,NA,NA,NA,NA,NA,22,12,195,142,7647,7429,344453,6665,19246,319,864389,38635,13445,11379,9292,30914,8055,2894,1415,520,1687,479,133855,816,3494,4041,1278,1383,533,11864,42613,527,2790,128294,153,55058,1163,7012,1865,3036,244504,63131,25081,618,188,262868,69010,17754,254,8492,142704,1778,46488,597,177949,13311,473221,2082,9159,2271,1554,848,275106,522,13344,970,6348,631,12122,3210,671,159,29735,3573,1915,109060,8501,2438,3573,1525381,1998,2523,1730,9197,2727,21147,8824,1269,4081,340,1185,47672,6171,88058,3189,13854,20806,425543,680,4520,1136,889,16784,412,18882,13532,11306,1207,2082,4991,2429,46969,249,1394,668,12600,1526,1646,392,4531191,14238,13952,279,290,17907,566,116187,663,35084,4553,3882,1776
10,no-to-mild,3,N,289,4-7,-4,31,2.58,1.7,317,152,2.5,130,13.5,0.1,3.1,349,1.7,170,NA,NA,NA,NA,NA,NA,NA,NA,15,7,254,92,13800,14699,298680,4693,22140,219,949122,24315,1872,13938,24779,14646,22727,6705,3019,329,3091,1378,326266,1557,3928,6809,1603,1532,546,14104,28844,1284,2878,120515,941,41961,13347,9857,1373,5260,306184,72698,27014,1461,539,930825,25219,13844,669,11628,321575,485,3719,893,100015,19180,310603,3677,11430,3550,2583,506,201903,1254,8441,3267,4110,1830,16957,5216,548,418,30872,2785,2487,47499,18539,3398,3786,3021943,4315,4080,3627,12076,6933,23556,15221,2224,970,481,964,45242,3652,362173,3539,8473,18335,559189,1164,53984,1857,1674,31728,906,12420,23916,8756,856,3204,5402,2684,131541,410,1815,998,3590,3404,4481,183,1797225,32018,7034,261,520,27148,1277,60790,506,24051,1731,6342,2605
